,flux_list,wavelength,z,ra,dec,objid,coordinate
0,[12.054903 10.598448  8.950343 ... 19.583443 16.641216 19.48523 ],[3818.5623 3819.4429 3820.3215 ... 9189.672  9191.785  9193.905 ],0.05617154,252.038538691347,25.7556300702099,1237662474772152643,16h48m09.2496s +25d45m20.2608s
1,"[array([12.054903, 10.598448,  8.950343, ..., 19.583443, 16.641216,
       19.48523 ], dtype=float32)]","[array([3818.5623, 3819.4429, 3820.3215, ..., 9189.672 , 9191.785 ,
       9193.905 ], dtype=float32)]",0.05617154,252.038538691347,25.7556300702099,1237662474772152643,16h48m09.2496s +25d45m20.2608s
2,"[array([ 8.265063,  8.182387,  9.816896, ..., 44.387657, 49.885967,
       45.586597], dtype=float32)]","[array([3797.519 , 3798.3948, 3799.2686, ..., 9185.439 , 9187.558 ,
       9189.672 ], dtype=float32)]",0.04628493,252.041446417361,24.0634072489912,1237661465457263136,16h48m09.948s +24d03m48.2508s
3,"[array([ 3.5699797,  3.908457 ,  6.169402 , ..., 20.129265 , 21.14476  ,
       24.465479 ], dtype=float32)]","[array([3808.9043, 3809.7805, 3810.659 , ..., 9179.099 , 9181.21  ,
       9183.327 ], dtype=float32)]",0.0939068,252.041674446384,30.3741738678129,1237659161743917071,16h48m10.0032s +30d22m27.0012s
4,"[array([14.964477 ,  3.787437 ,  1.8535707, ..., 14.209083 , 12.637042 ,
       15.743229 ], dtype=float32)]","[array([3810.659 , 3811.5356, 3812.4126, ..., 9176.982 , 9179.099 ,
       9181.21  ], dtype=float32)]",0.08134902,252.043422198438,29.5968194965927,1237659161207308305,16h48m10.4256s +29d35m48.498s
5,"[array([ 2.481234 ,  2.0956197,  1.7097887, ..., 31.31927  , 31.8132   ,
       31.2144   ], dtype=float32)]","[array([3794.8972, 3795.7703, 3796.6455, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",-4.209533e-05,252.04448927494,21.4178239164169,1237662667502125597,16h48m10.6776s +21d25m04.1844s
6,"[array([ 6.3718214,  4.917547 ,  3.4625428, ..., 11.091526 , 11.768244 ,
       11.679746 ], dtype=float32)]","[array([3794.8972, 3795.7703, 3796.6455, ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.09514754,252.044582021744,20.8832518367553,1237662666965451048,16h48m10.7016s +20d52m59.718s
7,"[array([10.910898 , 14.057299 , 10.403538 , ...,  7.1407466,  9.503276 ,
        8.919852 ], dtype=float32)]","[array([3829.1296, 3830.0105, 3830.8938, ..., 9240.595 , 9242.726 ,
       9244.852 ], dtype=float32)]",0.07929219,252.048174393017,28.5758956698553,1237662303523897350,16h48m11.5584s +28d34m33.2508s
8,"[array([ 5.9161415 ,  0.89536685,  0.20378979, ..., 19.167856  ,
       19.570242  , 17.81406   ], dtype=float32)]","[array([3806.2727, 3807.1504, 3808.0261, ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.047116,252.048231538291,24.1384786192175,1237661465457263043,16h48m11.5752s +24d08m18.5388s
9,"[array([-1.7386144 ,  0.8429804 ,  0.79179394, ...,  7.7164927 ,
        9.203816  ,  9.336408  ], dtype=float32)]","[array([3798.3948, 3799.2686, 3800.1426, ..., 9189.672 , 9191.785 ,
       9193.905 ], dtype=float32)]",6.88392e-05,252.048862441576,21.5193491613704,1237662667502125628,16h48m11.7264s +21d31m09.6276s
10,"[array([ 7.016475 ,  6.739768 ,  7.4061756, ...,  9.268086 , 11.954805 ,
        9.707626 ], dtype=float32)]","[array([3799.2686, 3800.1426, 3801.0188, ..., 9181.21  , 9183.327 ,
       9185.439 ], dtype=float32)]",0.0687599,252.050116882961,33.2749815469384,1237659324958834788,16h48m12.024s +33d16m29.9424s
11,"[array([ 29.625084,  29.077513,  27.062819, ..., 110.68316 , 114.343864,
       118.56829 ], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9185.439 , 9187.558 ,
       9189.672 ], dtype=float32)]",0.04823364,252.050186908576,24.1521469067574,1237661465457262609,16h48m12.0456s +24d09m07.7436s
12,"[array([ 7.365657 ,  4.8884487,  3.0118372, ..., 21.334402 , 19.230768 ,
       20.851355 ], dtype=float32)]","[array([3822.963 , 3823.8423, 3824.724 , ..., 9187.558 , 9189.672 ,
       9191.785 ], dtype=float32)]",0.0488063,182.957257337405,1.7164336908759,1237651752937849012,12h11m49.7424s +1d42m59.2175s
13,"[array([ 0.28097183,  1.6385843 ,  3.7344139 , ..., 12.238987  ,
       12.375908  , 13.067683  ], dtype=float32)]","[array([3812.4126, 3813.2917, 3814.169 , ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.09722579,182.957909392789,30.5632417296327,1237667212139298890,12h11m49.8984s +30d33m47.7072s
14,"[array([17.42382 , 17.314594, 17.938177, ..., 16.803596, 18.374804,
       17.553207], dtype=float32)]","[array([3820.3215, 3821.2024, 3822.0815, ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.05280716,182.957911111511,32.9854411671835,1237665330925338747,12h11m49.9008s +32d59m07.584s
15,"[array([6.761857 , 7.8494706, 5.822336 , ..., 5.094382 , 6.344642 ,
       7.4060774], dtype=float32)]","[array([3823.8423, 3824.724 , 3825.604 , ..., 9198.141 , 9200.257 ,
       9202.379 ], dtype=float32)]",0.07485531,182.958048146963,2.67460626995621,1237651754011590907,12h11m49.9368s +2d40m28.5917s
16,"[array([4.963763  , 6.772967  , 0.4985401 , ..., 2.1533618 , 0.82396895,
       2.20129   ], dtype=float32)]","[array([3806.2727, 3807.1504, 3808.0261, ..., 9204.495 , 9206.613 ,
       9208.736 ], dtype=float32)]",0.008044519,182.957894597917,17.6766926540059,1237668590259077193,12h11m49.9488s +17d40m35.5188s
17,"[array([58.450928, 61.92288 , 65.75822 , ..., 24.052744, 23.879208,
       21.505808], dtype=float32)]","[array([3802.77  , 3803.6448, 3804.522 , ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.000278596,182.958564413174,7.67588377000383,1237661971721551912,12h11m50.0568s +7d40m33.1763s
18,"[array([15.949153, 17.861853, 17.133297, ..., 18.948824, 13.712738,
       16.104906], dtype=float32)]","[array([3806.2727, 3807.1504, 3808.0261, ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.07872234,182.958711646125,1.19867829488967,1237648722842615988,12h11m50.0904s +1d11m55.252s
19,"[array([ 8.543103 ,  5.864079 , -0.6909434, ..., 16.229073 , 18.214796 ,
       13.877218 ], dtype=float32)]","[array([3805.3972, 3806.2727, 3807.1504, ..., 9189.672 , 9191.785 ,
       9193.905 ], dtype=float32)]",0.07613385,182.958784673112,4.17441429625181,1237655124471709711,12h11m50.1096s +4d10m27.8663s
20,"[array([10.329118 ,  8.3180685,  7.3246217, ..., 31.824688 , 30.953936 ,
       29.638699 ], dtype=float32)]","[array([3813.2917, 3814.169 , 3815.0483, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.0573666,182.959203608404,30.3667773589457,1237667254551904379,12h11m50.2104s +30d22m00.4368s
21,"[array([ 7.3525834, 13.4879675, 14.167558 , ...,  5.863872 ,  5.9551997,
        6.811053 ], dtype=float32)]","[array([3824.724 , 3825.604 , 3826.4841, ..., 9179.099 , 9181.21  ,
       9183.327 ], dtype=float32)]",0.04840492,182.959424419267,11.9747701588242,1237661949179985945,12h11m50.2632s +11d58m29.2008s
22,"[array([64.69267  , 66.80454  , 68.91591  , ...,  7.130256 ,  3.1936078,
        6.8557467], dtype=float32)]","[array([3792.2773, 3793.15  , 3794.0225, ..., 9187.558 , 9189.672 ,
       9191.785 ], dtype=float32)]",0.0007534519,182.959464662505,14.6211784987992,1237661069262323810,12h11m50.2728s +14d37m16.2588s
23,"[array([ 7.659395,  6.861766,  7.026875, ..., 20.507898, 21.791616,
       24.004274], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9185.439 , 9187.558 ,
       9189.672 ], dtype=float32)]",0.09434564,182.959541742815,13.6806102637648,1237661951327469664,12h11m50.292s +13d40m50.1888s
24,"[array([ 0.19591184,  4.8429265 ,  7.8997774 , ..., 10.9900255 ,
       10.906777  ,  9.742569  ], dtype=float32)]","[array([3799.2686, 3800.1426, 3801.0188, ..., 9176.982 , 9179.099 ,
       9181.21  ], dtype=float32)]",0.0867811,182.960369279387,43.4917673095362,1237661968503210103,12h11m50.4888s +43d29m30.3504s
25,"[array([ 9.86832 , 16.85745 , 13.351053, ..., 36.440395, 36.523197,
       35.499805], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9185.439 , 9187.558 ,
       9189.672 ], dtype=float32)]",0.04395287,182.960538314756,61.8267479311144,1237658609830854782,12h11m50.532s +61d49m36.2172s
26,"[array([ 5.950338 ,  8.122274 ,  5.7201705, ..., 17.945663 , 13.295481 ,
       13.241895 ], dtype=float32)]","[array([3810.659 , 3811.5356, 3812.4126, ..., 9183.327 , 9185.439 ,
       9187.558 ], dtype=float32)]",0.05994349,182.960592591771,61.5955166809663,1237658609830789247,12h11m50.5584s +61d35m43.7784s
